Category,Module,Feature,Model Evidence,API Evidence,UI Evidence,Status,Score,Tier,MES_Tier,QT9,1Factory,ProShop,Qualio,Prodio,Steelhead,MachineMetrics,Redzone,Amper,TrakSYS,PlanetTogether,CriticalMfg,Opcenter,Plex,DELMIA,Notes
QMS,Document Control,Create/upload documents,Documents model with file field,POST /api/Documents/,DocumentsEditorPage + DocumentUploader,Complete,100%,Core,Pro,Yes,Yes,Yes,Yes,No,Partial,No,Partial,No,Yes,No,Yes,Partial,Yes,Yes,Table stakes
QMS,Document Control,Version history,Documents with versioning via SecureModel,GET /api/Documents/{id}/version-history/,DocumentVersionsTab,Complete,100%,Core,Pro,Yes,Yes,Yes,Yes,No,Partial,No,Partial,No,Yes,No,Yes,Partial,Yes,Yes,Table stakes
QMS,Document Control,Document approval workflow,ApprovalRequest + ApprovalResponse + ApprovalTemplate,POST /api/Documents/{id}/submit-for-approval/,DocumentApprovalTab,Complete,100%,Core,Pro,Yes,Yes,Yes,Yes,No,Partial,No,Partial,No,Yes,No,Yes,Partial,Yes,Yes,Table stakes
QMS,Document Control,Document revisions,Documents.revise method,POST /api/Documents/{id}/revise/,document-revision-modal.tsx,Complete,100%,Core,Pro,Yes,Yes,Yes,Yes,No,Partial,No,Partial,No,Yes,No,Yes,Partial,Yes,Yes,
QMS,Document Control,Document types/classification,DocumentType model + classification field,CRUD /api/DocumentTypes/,DocumentTypesEditorPage,Complete,100%,Core,Pro,Yes,Yes,Yes,Yes,No,Partial,No,Partial,No,Yes,No,Yes,Partial,Yes,Yes,
QMS,Document Control,Security classification,Documents.classification (PUBLIC/INTERNAL/CONFIDENTIAL/RESTRICTED/SECRET),Filtering by classification,Classification shown in UI,Complete,100%,Standard,Pro,Yes,Partial,Yes,Yes,No,No,No,No,No,Partial,No,Partial,Partial,Partial,Partial,5-level classification
QMS,Document Control,Document audit trail,AuditLog integration,GET /api/auditlog/,DocumentAuditTab,Complete,100%,Core,Pro,Yes,Yes,Yes,Yes,No,Partial,No,Partial,No,Yes,No,Yes,Partial,Yes,Yes,
QMS,Document Control,Document statistics,N/A,GET /api/Documents/stats/,DocumentsDashboardPage,Complete,95%,Standard,Pro,Partial,Partial,Partial,Partial,No,Partial,No,Partial,No,Yes,No,Yes,Partial,Yes,Yes,
QMS,Document Control,ECR/ECN change control,Missing,Missing,Missing,Missing,0%,Standard,Pro,Yes,Partial,Yes,Yes,No,No,No,No,No,No,No,Partial,Partial,Partial,Partial,GAP
QMS,CAPA,Create CAPA,CAPA model with full fields,POST /api/CAPAs/,CreateCapaPage,Complete,100%,Core,Pro,Yes,Yes,Yes,Yes,No,Partial,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Table stakes
QMS,CAPA,CAPA types (Corrective/Preventive/etc),capa_type field with 5 choices,Filtering by type,Shown in UI,Complete,100%,Core,Pro,Yes,Yes,Yes,Yes,No,Partial,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,CAPA,Severity levels,severity field (CRITICAL/MAJOR/MINOR),Filtering by severity,Shown in UI,Complete,100%,Core,Pro,Yes,Yes,Yes,Yes,No,Partial,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,CAPA,CAPA status workflow,status field with transitions,Status updates via PATCH,CapaOverviewTab,Complete,100%,Core,Pro,Yes,Yes,Yes,Yes,No,Partial,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,CAPA,Auto-numbering,capa_number auto-generated,Read-only in API,Displayed in UI,Complete,100%,Core,Pro,Yes,Yes,Yes,Yes,No,Partial,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,CAPA,CAPA tasks,CapaTasks model with full workflow,CRUD /api/CapaTasks/ + complete action,CapaTasksTab,Complete,100%,Core,Pro,Yes,Yes,Yes,Yes,No,Partial,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,CAPA,Multi-person task assignment,CapaTaskAssignee + completion_mode field,Task assignment via API,Multi-assignee UI,Complete,100%,Differentiator,Pro,Partial,Partial,Partial,Partial,No,Partial,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,DIFFERENTIATOR
QMS,CAPA,Task signatures,requires_signature + completion_signature fields,Signature capture in complete action,Signature UI,Complete,100%,Standard,Pro,Yes,Yes,Yes,Yes,No,Partial,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,CAPA,Root Cause Analysis,RcaRecord model,CRUD /api/RcaRecords/,CapaRcaTab,Complete,100%,Core,Pro,Yes,Yes,Yes,Yes,No,No,No,Partial,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,CAPA,5 Whys method,FiveWhys model,CRUD /api/FiveWhys/,5 Whys form in RCA tab,Complete,100%,Standard,Pro,Yes,Yes,Partial,Yes,No,No,No,Partial,No,Partial,No,Yes,Yes,Yes,Yes,
QMS,CAPA,Fishbone/Ishikawa,Fishbone model with 6M categories,CRUD /api/Fishbone/,Fishbone form in RCA tab,Complete,100%,Standard,Pro,Yes,Yes,Partial,Yes,No,No,No,Partial,No,Partial,No,Yes,Yes,Yes,Yes,
QMS,CAPA,Root cause categorization,RootCause model with category field,Part of RCA endpoints,Root cause entry UI,Complete,100%,Standard,Pro,Partial,Partial,Partial,Partial,No,No,No,Partial,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,CAPA,CAPA verification,CapaVerification model,CRUD /api/CapaVerifications/,CapaVerificationTab,Complete,100%,Core,Pro,Yes,Yes,Yes,Yes,No,Partial,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,CAPA,Effectiveness confirmation,effectiveness_result field,Update via PATCH,Verification result UI,Complete,100%,Core,Pro,Yes,Yes,Yes,Yes,No,Partial,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,CAPA,Self-verification controls,allow_self_verification + self_verified fields,Enforced in API,UI respects setting,Complete,100%,Differentiator,Premium,Partial,No,Partial,Partial,No,No,No,No,No,Partial,No,Partial,Partial,Partial,Partial,DIFFERENTIATOR
QMS,CAPA,CAPA approval workflow,approval_required + ApprovalRequest integration,POST /api/CAPAs/{id}/request-approval/,CapaApprovalTab,Complete,100%,Standard,Pro,Yes,Yes,Yes,Yes,No,Partial,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,CAPA,Blocking items tracking,get_blocking_items method,GET /api/CAPAs/{id}/blocking-items/,Blocking items shown in UI,Complete,100%,Differentiator,Premium,Partial,No,Partial,Partial,No,No,No,No,No,Partial,No,Partial,Partial,Partial,Partial,DIFFERENTIATOR
QMS,CAPA,Completion percentage,completion_percentage property,GET /api/CAPAs/{id}/completion-percentage/,Progress indicator,Complete,100%,Differentiator,Premium,Partial,Partial,Partial,Partial,No,No,No,No,No,Partial,No,Partial,Partial,Partial,Partial,DIFFERENTIATOR
QMS,CAPA,CAPA statistics,N/A,GET /api/CAPAs/stats/,capa-stats-cards.tsx + QualityDashboardPage,Complete,100%,Standard,Pro,Partial,Partial,Partial,Partial,No,No,No,Partial,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,CAPA,Link to quality reports,quality_reports M2M field,Included in serializer,Links in UI,Complete,100%,Standard,Pro,Yes,Yes,Yes,Yes,No,Partial,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,CAPA,Link to dispositions,dispositions M2M field,Included in serializer,Links in UI,Complete,100%,Standard,Pro,Partial,Yes,Yes,Partial,No,Partial,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Quality Records,Create quality report,QualityReports model,POST /api/ErrorReports/,PartQualityForm,Complete,100%,Core,Lite,Yes,Yes,Yes,Partial,No,Partial,Partial,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Quality Records,Pass/Fail status,status field (PASS/FAIL/PENDING),Status updates,Status shown in forms,Complete,100%,Core,Lite,Yes,Yes,Yes,Partial,No,Partial,Partial,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Quality Records,Link errors/defects,errors M2M to QualityErrorsList,Error selection in API,Error type picker,Complete,100%,Core,Lite,Yes,Yes,Yes,Partial,No,Partial,Partial,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Quality Records,Operator tracking,operator M2M field,Operator assignment,Operator selection,Complete,100%,Core,Lite,Yes,Yes,Yes,Partial,No,Partial,Partial,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Quality Records,Equipment tracking,machine FK field,Equipment selection,Equipment picker,Complete,100%,Standard,Standard,Yes,Yes,Yes,No,No,Partial,Partial,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Quality Records,File attachments,file FK to Documents,Document linking,File upload in form,Complete,100%,Core,Standard,Yes,Yes,Yes,Yes,No,Partial,Partial,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Quality Records,Auto-quarantine on fail,Signal triggers quarantine,Automatic via save,N/A - automatic,Complete,100%,Differentiator,Standard,Partial,Yes,Yes,No,No,No,No,Partial,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Quality Records,Sampling audit linkage,sampling_audit_log FK,Included in response,Shown in reports,Complete,100%,Standard,Standard,Partial,Yes,Partial,No,No,No,No,Partial,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Measurements,Define measurement specs,MeasurementDefinition model,CRUD /api/MeasurementDefinitions/,Step editor measurement config,Complete,100%,Core,Standard,Yes,Yes,Yes,Partial,No,Partial,No,Partial,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Measurements,Numeric tolerances,nominal/upper_tol/lower_tol fields,Tolerance validation,Tolerance display,Complete,100%,Core,Standard,Yes,Yes,Yes,Partial,No,Partial,No,Partial,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Measurements,Pass/Fail measurements,type field with PASS_FAIL option,Boolean capture,Pass/Fail toggle,Complete,100%,Core,Standard,Yes,Yes,Yes,Yes,No,Partial,No,Partial,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Measurements,Record measurement values,MeasurementResult model,Created with QualityReport,Measurement entry form,Complete,100%,Core,Standard,Yes,Yes,Yes,Partial,No,Partial,No,Partial,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Measurements,Auto spec compliance check,is_within_spec computed field,Returned in API,Visual pass/fail indicator,Complete,100%,Standard,Standard,Yes,Yes,Yes,Partial,No,Partial,No,Partial,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,SPC,Control charts (X-bar R),SPCBaseline with XBAR_R type + SPC data endpoint,GET /api/spc/data/,SpcPage,Complete,100%,Standard,Pro,Partial,Yes,Partial,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,SPC,Control charts (X-bar S),SPCBaseline with XBAR_S type,GET /api/spc/data/,SpcPage,Complete,100%,Standard,Pro,Partial,Yes,Partial,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,SPC,Control charts (I-MR),SPCBaseline with I_MR type,GET /api/spc/data/,SpcPage,Complete,100%,Standard,Pro,Partial,Yes,Partial,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,SPC,Process capability (Cp/Cpk),Calculated in capability endpoint,GET /api/spc/capability/,Capability display in SpcPage,Complete,100%,Standard,Pro,Partial,Yes,Partial,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,SPC,Freeze baselines,SPCBaseline model,POST /api/spc-baselines/{id}/freeze/,Freeze button in UI,Complete,100%,Differentiator,Pro,No,Partial,No,No,No,No,No,No,No,No,No,No,No,No,No,DIFFERENTIATOR
QMS,SPC,Baseline versioning,superseded_by + superseded_at fields,Supersession tracking,Version history shown,Complete,100%,Differentiator,Pro,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DIFFERENTIATOR
QMS,SPC,Baseline audit trail,frozen_by + frozen_at + notes,Audit fields in response,Audit info displayed,Complete,100%,Differentiator,Pro,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DIFFERENTIATOR
QMS,SPC,SPC print/export,N/A,Report generation,SpcPrintPage,Complete,100%,Standard,Pro,Partial,Yes,Partial,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,SPC,Hierarchy navigation,N/A,GET /api/spc/hierarchy/,Dropdown selectors,Complete,100%,Standard,Pro,Partial,Yes,Partial,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Approval Workflows,Approval templates,ApprovalTemplate model,CRUD /api/ApprovalTemplates/,ApprovalTemplatesEditorPage,Complete,100%,Core,Pro,Yes,Partial,Partial,Yes,No,No,No,Partial,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Approval Workflows,Multi-level approval,required_approvers + optional_approvers M2M,Approver management,Approver selection UI,Complete,100%,Standard,Pro,Yes,Yes,Yes,Yes,No,No,No,Partial,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Approval Workflows,Group-based approval,approver_groups M2M,Group selection,Group picker,Complete,100%,Standard,Pro,Yes,Partial,Partial,Yes,No,No,No,Partial,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Approval Workflows,Parallel approval,sequence_type PARALLEL option,Parallel processing,Parallel indicator,Complete,100%,Standard,Pro,Yes,Partial,Partial,Yes,No,No,No,Partial,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Approval Workflows,Sequential approval,sequence_type SEQUENTIAL option,Sequential processing,Sequential indicator,Complete,100%,Standard,Pro,Yes,Partial,Partial,Yes,No,No,No,Partial,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Approval Workflows,Threshold approval,flow_type THRESHOLD + threshold field,Threshold logic,Threshold config,Complete,100%,Differentiator,Premium,Partial,No,No,Partial,No,No,No,No,No,Partial,No,Partial,Partial,Partial,Partial,DIFFERENTIATOR
QMS,Approval Workflows,Approval responses,ApprovalResponse model,POST /api/ApprovalRequests/{id}/submit-response/,Approval decision UI,Complete,100%,Core,Pro,Yes,Yes,Yes,Yes,No,No,No,Partial,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Approval Workflows,Delegation,delegated_to field + delegate action,POST /api/ApprovalResponses/{id}/delegate/,Delegate button,Complete,100%,Standard,Pro,Yes,Partial,Partial,Yes,No,No,No,Partial,No,Partial,No,Partial,Yes,Yes,Yes,
QMS,Approval Workflows,Signature capture,signature_data + signature_meaning fields,Signature in response,Signature pad UI,Complete,100%,Core,Pro,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Approval Workflows,Self-approval controls,allow_self_approval field,Enforced in API,UI respects setting,Complete,100%,Differentiator,Premium,Partial,No,No,Partial,No,No,No,No,No,Partial,No,Partial,Partial,Partial,Partial,DIFFERENTIATOR
QMS,Approval Workflows,Escalation,escalation_days + escalate_to fields,Escalation tracking,Escalation config,Complete,90%,Standard,Pro,Yes,Partial,Partial,Yes,No,No,No,Partial,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Approval Workflows,My pending approvals,N/A,GET /api/ApprovalRequests/my-pending/,InboxPage,Complete,100%,Core,Pro,Yes,Partial,Yes,Yes,No,No,No,Partial,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Sampling,Sampling rule sets,SamplingRuleSet model,CRUD /api/Sampling-rule-sets/,SamplingRuleSetsEditorPage,Complete,100%,Standard,Pro,Partial,Yes,Partial,No,No,No,No,Partial,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Sampling,Multiple rule types,SamplingRule with 6 rule_type options,Rule type selection,Rule type dropdown,Complete,100%,Differentiator,Pro,Partial,Yes,Partial,No,No,No,No,No,No,Partial,No,Yes,Yes,Yes,Yes,DIFFERENTIATOR - 6 types
QMS,Sampling,Primary/fallback rules,fallback_ruleset + fallback_threshold fields,Fallback configuration,Fallback setup UI,Complete,100%,Differentiator,Pro,No,Partial,No,No,No,No,No,No,No,No,No,No,No,No,No,DIFFERENTIATOR
QMS,Sampling,Automatic fallback trigger,SamplingTriggerState model,Automatic via signals,N/A - automatic,Complete,100%,Differentiator,Pro,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DIFFERENTIATOR
QMS,Sampling,Sampling audit log,SamplingAuditLog model,Audit entries created,Audit shown in reports,Complete,100%,Standard,Pro,Partial,Yes,Partial,No,No,No,No,Partial,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Sampling,Sampling analytics,SamplingAnalytics model,Analytics data,Analytics display,Complete,90%,Standard,Pro,Partial,Yes,Partial,No,No,No,No,Partial,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Sampling,Part sampling assignment,Parts.sampling_rule + sampling_ruleset fields,Assignment via API,Assignment in part form,Complete,100%,Standard,Pro,Partial,Yes,Partial,No,No,No,No,Partial,No,Yes,No,Yes,Yes,Yes,Yes,
